04111-0C098,1
04111-0C109,44
04111-0C162,31
04111-0C210,141
04111-0C300,5
04111-0E042,31
04111-0P182,10
04111-0Q023,1
04111-11026,13
04111-16231,16
04111-16350,3
04111-17021,6
04111-17060,10
04111-20441,4
04111-21045,8
04111-22513,21
04111-22691,19
04111-22701,35
04111-22842,9
04111-25241,10
04111-27081,1
04111-28824,19
04111-28884,24
04111-30521,5
04111-30579,52
04111-30659,13
04111-31252,15
04111-31343,95
04111-31445,65
04111-31684,59
04111-31712,94
04111-31713,5
04111-31853,177
04111-31A43,2
04111-31B52,76
04111-31D21,30
04111-36126,17
04111-37097,10
04111-38164,64
04111-38291,5
04111-38301,65
04111-47077,38
04111-50180,11
04111-50410,46
04111-50541,16
04111-51032,3
04111-61044,2
04111-66047,3
04111-66101,34
04111-67023,11
04111-74641,9
04111-74721,1
04111-74780,15
04111-75112,6
04111-75A32,4
04111-75B11,142
04111-75D00,3
04111-75D40,33
04111-75E00,5
04111-BZ127,2
04112-66091,1
04139-70010,6
04151-64020,19
04152-31090,418
04152-37010,475
04152-38010,153
04152-38020,759
04152-YZZA5,429
04152-YZZD1,30
04152-YZZD3,1193
04152-YZZD4,1842
04152-YZZD6,201
04175-51031,14
04175-51041,4
04311-12080,6
04311-25020,50
04311-26050,1
04311-35080,1347
04311-55022,3
04311-60100,3
04311-60110,2
04313-0K010,7
04313-28020,36
04313-36150,3
04313-37030,10
04313-60140,11
04331-36251,4
04362-48010,22
04362-60050,7
04362-60080,7
04362-60830,5
04371-0K082,156
04371-0K110,375
04371-27011,49
04371-36050,3
04371-60060,17
04371-60070,154
04371-60210,37
04371-60221,1
04373-12010,3
04375-0C042,3
04375-0K012,124
04412-0K510,15
04423-33060,10
04427-0C020,45
04427-0R104,25
04427-42013,10
04427-52897,36
04427-60093,18
04427-60121,132
04427-60132,24
04427-60142,24
04428-02A90,6
04428-02B00,2
04428-06610,9
04428-78031,15
04434-60151,2
04437-06220,16
04437-12400,24
04437-60042,117
04437-60053,17
04437-60091,42
04437-78011,7
04438-07090,4
04438-42180,35
04438-42201,18
04438-44052,7
04438-78011,16
0443C-37030,8
04445-06050,38
04445-26240,10
04445-33110,21
04445-35120,25
04445-35180,10
04445-50040,12
04445-60070,11
04445-60090,5
04446-10021,15
04446-26050,47
04446-30030,8
04446-30120,3
04446-53030,5
04446-60070,6
04446-60080,11
04465-02130,1
04465-02220,2265
04465-02370,27
04465-02391,235
04465-04070,5
04465-05090,3
04465-05270,1
04465-06090,545
04465-06110,15
04465-07010,287
04465-07020,13
04465-0C020,1060
04465-0D160,177
04465-0E010,20
04465-0K020,335
04465-0K090,41
04465-0K110,569
04465-0K130,8
04465-0K160,89
04465-0K190,37
04465-0K240,10
04465-0K290,1905
04465-0K420,94
04465-0K431,70
04465-0K610,24
04465-0T010,19
04465-0W060,2
04465-0W110,11
04465-12592,25
04465-12610,64
04465-12670,11
04465-13050,13
04465-14081,24
04465-20550,20
04465-26421,432
04465-26440,49
04465-30450,419
04465-30491,123
04465-30510,58
04465-32230,9
04465-33050,1
04465-33450,52
04465-33471,104
04465-33480,19
04465-35290,248
04465-36020,100
04465-37220,37
04465-37340,15
04465-42190,147
04465-42200,56
04465-47030,439
04465-47070,58
04465-47100,50
04465-48100,56
04465-48190,139
04465-48220,81
04465-50070,18
04465-50260,176
04465-52200,98
